features,classifier,accuracy,precision,recall,f1,f2
all,gaussiannb,0.83320,0.34352,0.27550,0.30577,0.28686
all,kmeans,0.51013,0.13884,0.51400,0.21863,0.33368
all,linsvc,0.69413,0.26204,0.71250,0.38317,0.53021
all,logreg,0.69793,0.26386,0.70700,0.38429,0.52923
all,svc,0.71413,0.27665,0.70850,0.39792,0.53993
all-totals,gaussiannb,0.83320,0.34352,0.27550,0.30577,0.28686
all-totals,kmeans,0.50847,0.13857,0.51500,0.21838,0.33370
all-totals,linsvc,0.73847,0.28261,0.62500,0.38923,0.50310
all-totals,logreg,0.69573,0.26312,0.71200,0.38424,0.53087
all-totals,svc,0.71413,0.27665,0.70850,0.39792,0.53993
email-ratios,gaussiannb,0.83320,0.34352,0.27550,0.30577,0.28686
email-ratios,kmeans,0.50860,0.14322,0.53900,0.22630,0.34714
email-ratios,linsvc,0.73847,0.28261,0.62500,0.38923,0.50310
email-ratios,logreg,0.69793,0.26386,0.70700,0.38429,0.52923
email-ratios,svc,0.71413,0.27665,0.70850,0.39792,0.53993
email-totals,gaussiannb,0.83320,0.34352,0.27550,0.30577,0.28686
email-totals,kmeans,0.50507,0.13568,0.50500,0.21389,0.32699
email-totals,linsvc,0.69693,0.26347,0.70900,0.38418,0.52982
email-totals,logreg,0.69853,0.26386,0.70450,0.38392,0.52811
email-totals,svc,0.71413,0.27665,0.70850,0.39792,0.53993
finance-totals,gaussiannb,0.83320,0.34352,0.27550,0.30577,0.28686
finance-totals,kmeans,0.50847,0.13818,0.51300,0.21772,0.33258
finance-totals,linsvc,0.69413,0.26204,0.71250,0.38317,0.53021
finance-totals,logreg,0.69853,0.26386,0.70450,0.38392,0.52811
finance-totals,svc,0.71413,0.27665,0.70850,0.39792,0.53993
no-totals,gaussiannb,0.83047,0.34565,0.30400,0.32349,0.31151
no-totals,kmeans,0.54473,0.15012,0.51800,0.23278,0.34763
no-totals,linsvc,0.71813,0.28010,0.70950,0.40164,0.54301
no-totals,logreg,0.74380,0.29081,0.64050,0.40000,0.51632
no-totals,svc,0.79253,0.27760,0.34700,0.30844,0.33048
none,gaussiannb,0.83320,0.34352,0.27550,0.30577,0.28686
none,kmeans,0.52700,0.13870,0.48900,0.21611,0.32490
none,linsvc,0.66540,0.27311,0.90850,0.41997,0.62001
none,logreg,0.74807,0.30515,0.69650,0.42437,0.55432
none,svc,0.80720,0.29100,0.31050,0.30044,0.30639
